Player,Season,JurjScore
"Placzek, Jake",Summer_2011/2012,3.1471178374380586
"Kramer, Josh",Summer_2011/2012,2.650097323767562
"Nissen, Ethan",Summer_2021,2.1838604064291434
"Van Scoy, Grant",Summer_2015,2.0864714473697368
"Kalina, Jack",Summer_2014,2.058577205654477
"Daeges, Cody",Summer_2008,1.8873774568991695
"Scruggs, Hunter",Summer_2019,1.7719481625885747
"Benes, JJ",Summer_2011/2012,1.7639573008112421
"Goldsberry, Allan",Summer_2019,1.7172628945905044
"Ripa, Nick",Summer_2019,1.6980455770518694
"Weisbeck, Landen",Summer_2010,1.6758241980217552
"Barnett, Conner",Summer_2018,1.6422768413665632
"Feekin, Caleb",Summer_2017,1.6357863418789156
"Barnett, Conner",Summer_2019,1.613129344137002
"Placzek, Jake",Summer_2010,1.6091323164976927
"Jurjevich, Trevor",Summer_2016,1.6035240748021775
"Leif, Ryan",Summer_2010,1.5949246708770344
"McCord, Colby",Summer_2007,1.5892690368879643
"Gay, Matt",Summer_2013,1.578969160926051
"Barnett, Nick",Summer_2019,1.5673926573579287
"Gruber, Cole",Summer_2011/2012,1.5341972780736124
"Reiss, John",Summer_2007,1.4449484083153494
"Johnston, Dan",Summer_2007,1.439677600181731
"McClure, Zach",Summer_2016,1.4038365530617791
"Weander, Jeff",Summer_2009,1.3987018847226362
"Van Scoy, Grant",Summer_2014,1.3882146584537176
"McCord, Colby",Summer_2008,1.3517371557146585
"Zurcher, Johnny",Summer_2015,1.334006591206552
"Imig, Alex",Summer_2024,1.3206763067225071
"Safranek, Matt",Summer_2013,1.311857194173948
"Lavicky, Trent",Summer_2024,1.2909634529651393
"Scruggs, Hunter",Summer_2018,1.2854568169043503
"Ingram, Parker",Summer_2024,1.281233697272662
"Rule, Blake",Summer_2017,1.2792052149507198
"Placzek, Jake",Summer_2009,1.2611224583246117
"Saxton, Luke",Summer_2022,1.231994468388991
"Gay, Matt",Summer_2011/2012,1.2313202755179218
"Daeges, Cody",Summer_2007,1.227450473606923
"Jones, Joey",Summer_2009,1.2216451747244852
"Krska, Jacob",Summer_2010,1.2183557867642218
"Sparks, BJ",Summer_2014,1.2152990230139453
"Kramer, Josh",Summer_2010,1.2077598657533042
"Barnett, Conner",Summer_2017,1.2053780812681658
"Dinges, Jake",Summer_2016,1.1988012886705415
"Weisbeck, Landen",Summer_2011/2012,1.1972133864028223
"Jones, Joey",Summer_2010,1.1830170537121718
"Sparks, BJ",Summer_2015,1.1778770480508967
"Kramer, Josh",Summer_2009,1.173713694146857
"Boone, Cameron",Summer_2019,1.171743433382329
"Franks, Jake",Summer_2023,1.1658165913532597
"Safranek, Matt",Summer_2011/2012,1.1451667819198976
"Weander, Jeff",Summer_2008,1.118900343018311
"Gruber, Cole",Summer_2009,1.1094874057313309
"Jeffus, Tyler",Summer_2021,1.1093367077608032
"Weisbeck, Landen",Summer_2013,1.0966947067206987
"Schommer, Matt",Summer_2010,1.0952332830653186
"Van Scoy, Grant",Summer_2013,1.06975449882
"Ripa, Nick",Summer_2018,1.0570024416921404
"Hill, Caiden",Summer_2018,1.053718546624324
"Povich, Justin",Summer_2009,1.0516499697847563
"Bakke, Justin",Summer_2010,1.0476549745408108
"Beaudin, Ben",Summer_2017,1.032102794732288
"Jurjevich, Trevor",Summer_2014,1.028227611102553
"Jones, Brayden",Summer_2023,1.0276813236298548
"Van Briesen, Sean",Summer_2013,1.0276130621944208
"Weander, Jeff",Summer_2010,1.0139851878722208
"Ossenfort, Jackson",Summer_2021,1.0107451525209785
"Chavez, Oscar",Summer_2016,1.001495463342627
"Cargill, Mike",Summer_2015,0.9985202454453708
"Schneider, Easton",Summer_2024,0.9904350985198298
"Krska, Jacob",Summer_2008,0.9873851534340877
"Kimball, Cody",Summer_2009,0.9669147260066674
"Chanez, Nick",Summer_2022,0.9644860237639521
"Richardson, David",Summer_2017,0.9596640639314021
"Jochimsen, Trevor",Summer_2007,0.9580764314585484
"Povich, Justin",Summer_2010,0.9523733746270591
"Leif, Ryan",Summer_2011/2012,0.9493071992797114
"Kalina, Jack",Summer_2015,0.9474651007505477
"Gruber, Cole",Summer_2010,0.927855175602644
"Frazee, Ian",Summer_2010,0.9223290963222306
"Mathison, Cal",Summer_2016,0.9164697247513383
"Ripa, Mike",Summer_2016,0.9139911697903251
"Richardson, David",Summer_2016,0.9054763113088766
"Zurcher, Johnny",Summer_2016,0.898520270086255
"Jurjevich, Trevor",Summer_2015,0.8955861349667096
"Reyes, Zach",Summer_2022,0.8941214266488604
"Jones, Joey",Summer_2008,0.8904221583919438
"Ripa, Tony",Summer_2015,0.8820295067179914
"Vodicka, Aiden",Summer_2023,0.8819361616196091
"Gabriel, Nathan",Summer_2024,0.8704600802964647
"Hill, Caiden",Summer_2017,0.8686735060899387
"Ingram, Gage",Summer_2021,0.8679306043175863
"Jones, Brayden",Summer_2022,0.8658681488176165
"Zurcher, Chaz",Summer_2007,0.8653409311214
"Chick, Colin",Summer_2015,0.8641233760455207
"Scruggs, Hunter",Summer_2017,0.8635604120233457
"Birkemeier, Geoff",Summer_2013,0.8623196007455527
"O'Dowd, Aaron",Summer_2011/2012,0.844137226586809
"Vetter, Jackson",Summer_2022,0.8333790941441417
"Lange, Eric",Summer_2014,0.8319115179635472
"Clark, Chase",Summer_2021,0.8296321348470926
"Saxton, Luke",Summer_2021,0.8215665552059987
"Beaudin, Ben",Summer_2018,0.8171344701290152
"Kalina, Jack",Summer_2013,0.8150733198934101
"Armstrong, Dallas",Summer_2016,0.813601407161602
"Ingram, Parker",Summer_2023,0.8111044469131349
"Jones, Hunter",Summer_2023,0.8081261618378965
"Vodicka, Aiden",Summer_2024,0.8022728926822622
"Franks, Jake",Summer_2022,0.8009486820679336
"Ossenfort, Jackson",Summer_2019,0.7918427986857389
"Apgar, Tanner",Summer_2021,0.788148707759154
"Chanez, Nick",Summer_2021,0.774009467095831
"Chick, Colin",Summer_2016,0.7656344316078871
"Anderson, Logan",Summer_2019,0.7570265926185663
"Apgar, Tanner",Summer_2024,0.7427782133721123
"Webster, David",Summer_2009,0.7407313615446359
"Waldron, JJ",Summer_2008,0.739677775071609
"Ripa, Tony",Summer_2014,0.7395592833847667
"Young, Mitch",Summer_2011/2012,0.7334820271536203
"Mathison, Cal",Summer_2015,0.7324324170358663
"Weisbeck, Taylor",Summer_2007,0.73156953130013
"Woods, John",Summer_2009,0.7304330142008844
"Feekin, Caleb",Summer_2018,0.7272824188091829
"Loseke, Tom",Summer_2017,0.7146185633907268
"Thompson, Ryan",Summer_2024,0.7143328770297516
"Anders, Brett",Summer_2008,0.7100678179144205
"Adams, Kalin",Summer_2007,0.7044969473123006
"Ripa, Mike",Summer_2017,0.6950487530967836
"Wilson, Cole",Summer_2018,0.686497972816708
"Ludemann, Joseph",Summer_2011/2012,0.6831662142973343
"Leif, Derek",Summer_2008,0.6798928300115146
"Wolbach, Ethan",Summer_2014,0.6792264381946688
"Loseke, Tom",Summer_2018,0.6771229110911414
"Armstrong, Dallas",Summer_2015,0.6732390952888578
"Chavez, Oscar",Summer_2015,0.6645600819803255
"Apgar, Tanner",Summer_2023,0.6614804142727305
"Boyd, Patrick",Summer_2007,0.6558417809569077
"Chick, Colin",Summer_2014,0.649558796925541
"Lavicky, Trent",Summer_2023,0.6465955346248757
"Griffith, Coby",Summer_2018,0.6379297390329157
"Christensen, Brent",Summer_2008,0.6371501864810594
"Nissen, Blake",Summer_2024,0.6339733273638466
"Birkemeier, Geoffrey",Summer_2010,0.6331133370243696
"O'Brien, Isaiah",Summer_2021,0.6251822138606344
"Wernli, Dylan",Summer_2024,0.6229723163223386
"Vetter, Jackson",Summer_2021,0.6223481764567254
"Frazee, Ian",Summer_2009,0.6222493908119822
"Krska, Jacob",Summer_2009,0.6177288231342919
"Koory, Jake",Summer_2019,0.6158681348604236
"Waldron, JJ",Summer_2009,0.6047996313312061
"Yost, Nick",Summer_2008,0.6032074733702409
"Antoniak, Trevor",Summer_2024,0.6007246165957119
"Deatz, Grant",Summer_2014,0.5996438804899278
"Sorensen, John",Summer_2010,0.5962994046235357
"Eddie, Evan",Summer_2024,0.5929930873730641
"Armstrong, Dallas",Summer_2014,0.5909273789597622
"Anders, Brett",Summer_2007,0.5892281197896686
"Feekin, Caleb",Summer_2016,0.5836641119421706
"Kimball, Cody",Summer_2008,0.5763392331611186
"Mayfield, Bryce",Summer_2009,0.56815232348379
"Tomanek, Cody",Summer_2009,0.5675200392566397
"Vonderharr, Ryan",Summer_2009,0.5549887689594323
"Lange, Eric",Summer_2015,0.5531199154318149
"Graveline, Garrett",Summer_2014,0.5526751033935222
"Whaley, Garrith",Summer_2009,0.5479312893397954
"Krska, Mitchell",Summer_2017,0.5465734677764478
"Ingram, Gage",Summer_2019,0.5343114724796637
"Reyes, Dylan",Summer_2019,0.5307761899587099
"Bakke, Justin",Summer_2009,0.5182425119370233
"Siwa, KC",Summer_2014,0.5156257634654271
"Koory, Tyler",Summer_2017,0.5155905484794914
"Whitehill, Nate",Summer_2017,0.5129783947787036
"Imig, Alex",Summer_2023,0.501318336052823
"Vetter, Devin",Summer_2018,0.49079806431648343
"Wolfe, Parker",Summer_2022,0.48817687819958233
"Hill, Caiden",Summer_2016,0.4826706504775379
"Apgar, Tanner",Summer_2022,0.47176008616472204
"Mesceji, Jayden",Summer_2022,0.46423541129755874
"Tanton, Ty",Summer_2023,0.4631241076285503
"Reyes, Zach",Summer_2023,0.46059693475857777
"Armstrong, Dallas",Summer_2013,0.4548562425255209
"Clark, Chase",Summer_2019,0.4492664261557584
"Burke, Jack",Summer_2022,0.439713707626
"Rule, Blake",Summer_2016,0.43565713651384164
"Vetter, Devin",Summer_2017,0.4347670873935275
"Ossenfort, Connor",Summer_2023,0.41508088746553073
"Graveline, Garrett",Summer_2015,0.4081452432565307
"Whitehill, Nate",Summer_2018,0.40553860918752865
"Krayneski, Skylar",Summer_2024,0.404295702446222
"Schneider, Easton",Summer_2023,0.38976757027312814
"Harris, Lane",Summer_2019,0.371370731119288
"Ludemann, Joey",Summer_2013,0.36930791193682466
"Garrison, Grant",Summer_2009,0.36215304590253156
"Whitehill, Cole",Summer_2018,0.3523093291092343
"Matthias, Reid",Summer_2013,0.3426308357008175
"Jones, Hunter",Summer_2022,0.3402781119356636
"Jones, Hunter",Summer_2021,0.33596302239862075
"Hoelscher, Brett",Summer_2023,0.3258761572545478
"Dimauro, Dominic",Summer_2022,0.3213128205369008
"Leif, Ryan",Summer_2009,0.31576636673296526
"Bahl, Hayden",Summer_2017,0.3110266778253654
"Povich, Jaxon",Summer_2024,0.30655285725512327
"O'Brien, Isaiah",Summer_2022,0.305278093845722
"Sterling, Caden",Summer_2024,0.2609723803708579
"White, Lance",Summer_2021,0.2605429037603929
"Gabriel, Nathan",Summer_2023,0.22567623258199507
"Lechtenberg, Nick",Summer_2013,0.21683285654726886
"Frederick, Jadyn",Summer_2018,0.20488213873381267
"Sterling, Caden",Summer_2023,0.16790352255882146
"Christensen, Brent",Summer_2007,0.1066415137061083
"Woods, John",Summer_2010,0.0
